subject,predicate,object,sentence
Bidisha Choudhury,is,film actor,"His son Sandip Choudhury is T.V serial film director . His daughter in law Bidisha Choudhury is also film actor . Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . Peter Levin is American director of film , television theatre . Michael Govan ( born 1963 ) is director of Los Angeles County Museum of Art since 2006 . Prior to this , Govan worked as director of Dia Art Foundation in New York City . Mukhyamantri is 1996 Bengali famous film directed by Anjan Choudhury . This films music was composed by Mrinal Bandhyopadhay . Ian Barry is Australian director of film TV ."
Dana Blankstein- Cohen,is,director of Israeli Academy of Film Television,"Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . Peter Levin is American director of film , television theatre . Michael Govan ( born 1963 ) is director of Los Angeles County Museum of Art since 2006 . Prior to this , Govan worked as director of Dia Art Foundation in New York City . Mukhyamantri is 1996 Bengali famous film directed by Anjan Choudhury . This films music was composed by Mrinal Bandhyopadhay . Ian Barry is Australian director of film TV ."
Peter Levin,is,"American director of film , television theatre","Peter Levin is American director of film , television theatre . Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . Michael Govan ( born 1963 ) is director of Los Angeles County Museum of Art since 2006 . Prior to this , Govan worked as director of Dia Art Foundation in New York City . Mukhyamantri is 1996 Bengali famous film directed by Anjan Choudhury . This films music was composed by Mrinal Bandhyopadhay . Ian Barry is Australian director of film TV ."
Michael Govan,is,director of Los Angeles County Museum of Art since 2006,"Michael Govan ( born 1963 ) is director of Los Angeles County Museum of Art since 2006 . Prior to this , Govan worked as director of Dia Art Foundation in New York City . Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . Peter Levin is American director of film , television theatre . Mukhyamantri is 1996 Bengali famous film directed by Anjan Choudhury . This films music was composed by Mrinal Bandhyopadhay . Ian Barry is Australian director of film TV ."
Anjan Choudhury,directed,1996 Bengali famous film,"Mukhyamantri is 1996 Bengali famous film directed by Anjan Choudhury . This films music was composed by Mrinal Bandhyopadhay . Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . Peter Levin is American director of film , television theatre . Michael Govan ( born 1963 ) is director of Los Angeles County Museum of Art since 2006 . Prior to this , Govan worked as director of Dia Art Foundation in New York City . Ian Barry is Australian director of film TV ."
Mrinal Bandhyopadhay,composed music for,1996 Bengali famous film,"Mukhyamantri is 1996 Bengali famous film directed by Anjan Choudhury . This films music was composed by Mrinal Bandhyopadhay . Dana Blankstein- Cohen ( born March 3 , 1981 ) is director of Israeli Academy of Film Television . She is film director , Israeli culture entrepreneur . Peter Levin is American director of film , television theatre . Michael Govan ( born 1963 ) is director of Los Angeles County Museum of Art since 2006 . Prior to this , Govan worked as director of Dia Art Foundation in New York City . Ian Barry is Australian director of film TV ."
Basilio Vargas,is,fourteen-year-old boy,The film follows fourteen-year-old Bolivian boy named Basilio Vargas who along with his twelve-year-old brother Bernardino work in mines near city of Potos .
Bernardino Vargas,is,twelve-year-old boy,The film follows fourteen-year-old Bolivian boy named Basilio Vargas who along with his twelve-year-old brother Bernardino work in mines near city of Potos .
Basilio Vargas and Bernardino Vargas,work in,mines near city of Potos,The film follows fourteen-year-old Bolivian boy named Basilio Vargas who along with his twelve-year-old brother Bernardino work in mines near city of Potos .
mine workers,pray to,Tio,"Each mine has its own Tio which all of workers pray to upon entering so that they may find good vein of silver so that they may be granted protection from explosions , toxic gas , silicosis , falling rocks ."
mine workers,pray at,church,"The local Catholic priest is unable to tame these fears of Tio although workers often pray at church before entering mine , upon observing miners attending Mass , local priest said that when he looked into face of miners he saw Christ dying ."
miners,attend,Mass,"The local Catholic priest is unable to tame these fears of Tio although workers often pray at church before entering mine , upon observing miners attending Mass , local priest said that when he looked into face of miners he saw Christ dying ."
miners,see,Christ dying,"The local Catholic priest is unable to tame these fears of Tio although workers often pray at church before entering mine , upon observing miners attending Mass , local priest said that when he looked into face of miners he saw Christ dying ."
mine workers,worship,God Devil,"Each mine has its own Tio which all of workers pray to upon entering so that they may find good vein of silver so that they may be granted protection from explosions , toxic gas , silicosis , falling rocks . The irony which is upon these people is one of great sorrow . They worship both God Devil , Light Dark , The God of world , god of earthen mine below ."
mine workers,worship,Light Dark,"Each mine has its own Tio which all of workers pray to upon entering so that they may find good vein of silver so that they may be granted protection from explosions , toxic gas , silicosis , falling rocks . The irony which is upon these people is one of great sorrow . They worship both God Devil , Light Dark , The God of world , god of earthen mine below ."
mine workers,worship,The God of world,"Each mine has its own Tio which all of workers pray to upon entering so that they may find good vein of silver so that they may be granted protection from explosions , toxic gas , silicosis , falling rocks . The irony which is upon these people is one of great sorrow . They worship both God Devil , Light Dark , The God of world , god of earthen mine below ."
Basilio,studying,tourism,"As of 2014 , Basilio is studying tourism , working in mines three nights week , working as tour guide in mines ."
Basilio,works in,mines,"As of 2014 , Basilio is studying tourism , working in mines three nights week , working as tour guide in mines ."
Basilio,works as,tour guide,"As of 2014 , Basilio is studying tourism , working in mines three nights week , working as tour guide in mines ."
Bernardino,studying,in evenings,"Bernardino , now married , still works in mines full-time whilst studying in evenings ."
Bernardino,works in,mines full-time,"Bernardino , now married , still works in mines full-time whilst studying in evenings ."
Bernardino,married,still works in,"Bernardino , now married , still works in mines full-time whilst studying in evenings ."
Donald or Don Wilson,may refer to,Donald or Don Wilson,Donald or Don Wilson may refer to
Xaveer De Geyter,born in,1957,"Xaveer De Geyter ( born 1957 ) is Belgian architect . De Geyter was born in Doornik , Belgium ."
Xaveer De Geyter,worked at office for metropolitan architecture with,Rem Koolhaas,"De Geyter was born in Doornik , Belgium . He spent ten years at office for metropolitan architecture with Rem Koolhaas , where he worked on projects such as Villa dallava in Paris , urban design , melun snart paris , sea terminal in Zeebrugge , zkm centre for art media technology in Karlsruhe two libraries for Jussieu University , Paris ."
Xaveer De Geyter,worked on projects such as,Villa dallava in Paris,"De Geyter was born in Doornik , Belgium . He spent ten years at office for metropolitan architecture with Rem Koolhaas , where he worked on projects such as Villa dallava in Paris , urban design , melun snart paris , sea terminal in Zeebrugge , zkm centre for art media technology in Karlsruhe two libraries for Jussieu University , Paris ."
Xaveer De Geyter,built two private villas in Belgium,early 1990s,De Geyter started his own firm in early 1990s built two private villas in Belgium .
Xaveer De Geyter,started his own firm in,early 1990s,De Geyter started his own firm in early 1990s built two private villas in Belgium .
Xaveer De Geyter,designed Ilot Saint Maurice in Lille,Ilot Saint Maurice in Lille,"Early designs such as Ilot Saint Maurice in Lille Chass Apartment towers , Breda , exemplify his capacity for innovative architectural design ."
Xaveer De Geyter,designed Chass Apartment towers in,Breda,"Early designs such as Ilot Saint Maurice in Lille Chass Apartment towers , Breda , exemplify his capacity for innovative architectural design ."
Xaveer De Geyter,opened second office in,2001,"In 2001 , second office opened in Ghent , in collaboration with Stphane Beel ."
Xaveer De Geyter,collaborated with Stphane Beel,2001,"In 2001 , second office opened in Ghent , in collaboration with Stphane Beel ."
Pierre de la Vergne,died on,6 October 1403 in Avignon,"Pierre de la Vergne , aka Pierre de Veruche , Pierre Verneyo , Pierre Verigo , Pierre Verigo or Pierre Veroche or Pierre Veroche , Latin Petrus de Vernio ( died 6 October 1403 in Avignon was French cardinal ."
Pierre de la Vergne,also known as,Pierre de Veruche,"Pierre de la Vergne , aka Pierre de Veruche , Pierre Verneyo , Pierre Veruco , Pierre Verrujo or Pierre Veroche , Latin Petrus de Vernio ( died 6 October 1403 in Avignon was French cardinal)."
Pierre de la Vergne,died on,6 October 1403,"Pierre de la Vergne , aka Pierre de Veruche , Pierre Verneyo , Pierre Veruco , Pierre Verrujo or Pierre Veroche , Latin Petrus de Vernio ( died 6 October 1403 in Avignon was French cardinal)."
Halcn Suriano Jr.,born on,"May 8 , 1994","Halcn Suriano Jr. Stukita ( born May 8 , 1994 ) is Mexican luchador enmascarado , or masked professional wrestler , under contract with Mexican professional wrestling promotion Consejo Mundial de Lucha Libre ( CMLL ) . Until fall of 2018 he worked under name Stukita in CMLLs Mini- Estrella division ."
Halcn Suriano Jr. Stukita,works under name,Stukita,"Halcn Suriano Jr. Stukita ( born May 8 , 1994 ) is Mexican luchador enmascarado , or masked professional wrestler , under contract with Mexican professional wrestling promotion Consejo Mundial de Lucha Libre ( CMLL ) . Until fall of 2018 he worked under name Stukita in CMLLs Mini- Estrella division ."
